prospect_id,company_name,website,industry_hint,linkedin_url,cloned_site_url
argosy-private-equity,Argosy Private Equity,http://www.argosycapital.com,Private Equity / Portfolio Operations,http://www.linkedin.com/in/john-broderick-22236610,https://argosy-private-equity-forge.vercel.app
beckway,Beckway,http://www.beckway.com,Private Equity / Portfolio Operations,http://www.linkedin.com/in/richmozeleski,https://beckway-forge.vercel.app
benford-capital-partners,Benford Capital Partners,http://www.benfordcapital.com,Private Equity / Portfolio Operations,http://www.linkedin.com/in/thomas-schofield-9045a698,https://benford-capital-partners-forge.vercel.app
bv-investment-partners,BV Investment Partners,http://www.bvlp.com,Private Equity / Portfolio Operations,http://www.linkedin.com/in/shweta-kabadi,https://bv-investment-partners-forge.vercel.app
cogent-analytics,Cogent Analytics,http://www.cogentanalytics.com,Private Equity / Portfolio Operations,http://www.linkedin.com/in/martin-denney,https://cogent-analytics-forge.vercel.app
diversis,Diversis,http://www.diversis.com,Private Equity / Portfolio Operations,http://www.linkedin.com/in/scottallengraham,https://diversis-forge.vercel.app
elliott-investment-management-l-p,Elliott Investment Management L.P.,http://www.elliottmgmt.com,Private Equity / Portfolio Operations,http://www.linkedin.com/in/kettyrusseva,https://elliott-investment-management-l-p-forge.vercel.app
gi-partners,GI Partners,http://www.gipartners.com,Private Equity / Portfolio Operations,http://www.linkedin.com/in/brettderby,https://gi-partners-forge.vercel.app
greater-sum-ventures,Greater Sum Ventures,http://www.greatersumventures.com,Private Equity / Portfolio Operations,http://www.linkedin.com/in/michael-tribble,https://greater-sum-ventures-forge.vercel.app
kingswood-capital-management,Kingswood Capital Management,http://www.kingswood-capital.com,Private Equity / Portfolio Operations,http://www.linkedin.com/in/gregorybarber,https://kingswood-capital-management-forge.vercel.app
letterone,LetterOne,http://www.letterone.com,Private Equity / Portfolio Operations,http://www.linkedin.com/in/roy-stein-576abb,https://letterone-forge.vercel.app
